DISTRESS.1 DISTRESS.2 BLACK NBHISP GRADE SLFHLTH SLFWGHT WORKHARD GOODQUAL PHYSFIT PROUD LIKESLF ACCEPTED FEELLOVD DIET 
0.42 0.22 0 0 11 2 3 2 1 1 1 2 1 1 0
0.63 0.74 0 0 11 3 3 3 3 3 3 1 2 2 0
0.42 0.95 0 0 10 1 4 2 2 3 2 3 2 2 0
1.05 0.86 0 0 11 2 4 2 1 2 1 2 2 1 0
0.89 0.62 0 0 10 3 4 3 2 4 3 4 4 3 1
1.74 0.83 0 0 11 3 4 2 2 2 2 4 3 3 0
0.84 0.40 1 0 10 1 3 2 2 2 2 1 2 2 0
0.32 1.17 0 0 10 2 3 2 2 2 2 3 3 2 0
0.53 0.78 0 0 10 2 4 4 3 3 2 3 2 2 0
1.16 1.13 0 0  9 2 5 2 3 4 2 4 4 2 0
1.28 0.79 1 0 10 2 3 3 3 5 3 4 4 2 0
0.26 1.14 0 1  9 1 3 3 3 2 3 3 2 3 0
0.26 0.02 0 1  7 1 4 2 1 2 1 2 1 1 0
0.42 0.00 0 0 10 3 4 2 2 3 2 3 5 2 1
1.53 0.68 0 0  8 4 4 3 3 4 2 5 2 1 0
0.26 0.10 0 0  7 2 3 2 1 1 1 2 1 1 0
0.21 0.62 0 0  7 3 4 2 1 3 2 2 1 1 0
0.26 0.47 0 0  8 3 3 2 2 2 2 2 3 1 0
1.26 0.20 1 0  9 4 5 3 2 3 1 2 2 2 0
0.47 0.84 1 0  8 1 3 2 2 1 2 2 2 2 0
0.21 0.24 1 0 11 2 3 2 2 1 1 1 1 1 0
0.47 1.72 0 0  7 1 3 1 1 1 1 1 2 2 0
0.42 0.11 0 0 11 1 3 2 2 2 2 2 2 2 0
0.05 0.04 0 0 10 1 3 2 1 1 1 1 1 1 0
0.47 2.29 0 0  9 4 3 3 3 3 5 4 4 4 0
0.79 1.13 0 1 10 2 2 3 3 2 2 3 1 2 0
0.26 0.36 1 0  8 1 2 3 2 1 1 1 1 1 0
0.47 0.44 0 0  7 1 1 2 2 2 2 1 1 2 0
0.26 0.17 0 1 10 2 4 2 2 2 1 2 1 1 1
0.84 0.23 0 0  7 3 4 2 2 1 2 3 2 1 0
1.11 1.24 0 0 10 2 4 3 2 2 2 2 3 2 0
0.79 0.96 0 0 11 2 4 1 1 2 2 2 2 2 0
0.68 0.99 1 0 11 3 3 2 2 5 3 3 3 2 0
0.11 0.34 0 1 11 2 4 2 1 1 1 1 1 1 0
0.84 0.71 0 1 11 2 3 2 2 2 2 3 2 1 0
0.21 0.40 1 0 11 2 2 2 2 2 2 1 2 2 0
0.63 0.73 1 0 10 3 1 2 3 2 3 3 3 3 0
0.53 0.70 0 0  7 3 3 2 2 3 2 1 4 2 0
0.21 0.32 0 0  8 2 3 2 2 4 2 2 2 1 0
0.68 0.46 0 0 11 2 4 2 2 2 2 3 4 3 1
0.89 1.13 0 0  8 3 4 2 2 4 3 4 3 2 1
0.58 0.78 0 0 11 2 3 2 2 2 2 3 2 2 1
0.53 0.86 0 0  9 2 5 2 2 2 2 4 3 2 1
0.95 1.02 0 0 10 5 4 2 3 4 4 4 4 3 1
0.00 0.15 0 0  8 1 3 1 2 1 1 1 1 1 0
0.53 0.48 0 0  7 2 4 4 2 2 2 4 3 2 1
0.47 0.55 0 0  7 1 4 2 2 2 1 2 2 2 1
2.37 0.75 0 1  9 4 3 5 3 4 3 4 4 2 0
0.53 0.52 0 0  9 3 3 1 3 3 4 3 2 2 0
1.32 0.69 0 0  7 4 2 4 2 1 2 2 2 2 0
1.16 1.21 0 1  7 1 3 3 2 1 2 2 2 3 1
1.21 0.75 0 0  8 1 3 2 3 2 2 2 4 2 0
0.47 0.63 1 0  9 3 3 2 2 2 1 2 1 1 1
0.16 0.35 1 0 10 2 3 2 1 2 1 1 1 1 0
1.16 1.03 0 1 10 3 3 2 2 3 2 3 2 3 0
1.42 1.20 0 1 11 3 3 2 2 2 1 1 2 3 1
1.68 1.09 1 0 10 1 3 2 1 3 2 4 2 4 0
1.95 1.41 1 0 10 3 4 1 1 4 2 3 2 2 1
1.16 1.49 0 1  9 2 3 2 1 4 1 2 2 2 0
0.16 0.53 0 0  8 2 3 2 2 3 2 2 2 1 0
0.05 0.33 0 0 10 1 2 2 3 1 2 2 2 2 0
0.11 1.60 0 1 11 1 4 4 2 1 2 2 1 1 1
0.47 0.41 0 0 10 3 5 3 3 3 3 4 4 3 1
0.16 0.20 0 0 11 1 3 2 2 2 1 2 2 2 0
0.42 0.19 0 0  7 2 2 1 2 1 1 2 1 1 0
0.84 1.01 0 0 10 2 4 2 1 2 1 2 2 1 0
1.42 0.87 0 0 10 2 4 2 1 2 2 3 2 2 1
0.63 0.38 0 1 10 2 3 1 2 2 1 2 2 2 0
1.21 0.54 0 1 10 3 4 2 2 3 2 2 3 1 0
0.74 1.30 0 1 10 3 4 2 4 4 4 5 5 5 1
0.21 0.08 0 0 10 2 3 1 2 3 2 2 2 2 0
1.16 1.25 1 0  7 2 4 1 2 4 2 4 4 3 1
1.00 1.19 0 0 11 4 3 3 2 3 2 3 2 2 1
1.47 0.61 0 0  9 2 3 2 1 2 2 3 2 2 0
0.16 0.20 0 0  7 2 2 2 2 1 2 3 2 1 0
1.05 0.66 0 0  8 3 3 2 2 2 2 1 2 2 0
0.32 0.29 0 0  9 2 5 2 2 4 2 2 3 2 0
0.05 0.29 0 0 11 2 5 1 1 2 1 2 1 1 1
0.00 0.10 0 1 11 1 3 2 2 1 1 1 1 1 0
0.21 0.81 1 0 10 4 4 1 1 3 1 2 1 1 0
1.00 0.59 1 0  8 3 3 2 2 2 2 3 3 2 0
0.16 0.32 0 0 11 1 3 1 2 2 2 2 3 2 0
0.42 0.49 0 0  9 1 3 2 2 1 2 2 2 2 0
0.42 0.84 0 0 10 3 4 2 3 3 3 5 3 4 1
1.21 0.84 0 1  8 3 2 2 2 3 1 2 2 1 0
0.74 0.42 1 0 11 2 3 2 1 2 1 1 1 1 0
0.95 0.98 0 0 10 3 4 2 4 5 4 4 5 2 0
0.37 0.38 1 0 11 1 3 3 2 2 2 2 2 2 0
1.42 0.05 0 0  7 2 3 3 2 2 1 2 1 1 0
0.26 0.18 0 0  7 1 3 2 1 2 1 2 1 1 0
0.79 0.28 0 0 11 2 4 2 2 3 2 2 4 3 0
0.42 0.48 1 0 10 1 3 3 2 2 2 2 2 1 0
1.42 0.47 0 0  9 3 5 2 3 4 3 3 3 3 1
0.63 0.92 0 0  9 2 3 3 2 1 2 2 1 1 0
1.00 0.39 1 0  7 2 3 2 2 4 2 3 1 1 0
0.26 0.39 0 1  9 2 3 2 2 4 2 2 2 2 1
1.42 0.40 0 0  9 2 3 2 1 2 1 1 2 1 0
0.89 0.90 0 0  8 1 3 3 3 4 2 3 4 2 0
0.74 0.86 1 0 11 2 3 1 2 2 1 1 2 2 0
0.32 0.16 0 0  8 3 4 2 2 3 2 4 2 2 1
0.42 0.46 0 0  7 1 3 2 1 1 1 1 2 1 0
0.68 0.75 1 0  7 2 4 2 2 3 2 2 2 2 0
0.47 0.28 0 0  8 2 4 2 2 4 2 4 2 2 1
0.53 1.05 0 0  9 4 4 2 3 4 4 4 4 5 1
0.37 0.14 0 0  9 1 4 1 2 2 2 3 3 2 0
0.74 1.39 0 0  9 2 3 2 2 1 2 3 1 2 1
0.74 1.28 1 0 10 2 3 2 2 2 1 2 2 2 0
0.68 0.48 0 0  8 2 3 2 1 1 1 1 1 1 0
0.21 0.53 1 0 10 3 4 2 2 2 2 2 2 2 0
0.79 0.66 0 0  9 3 4 2 2 4 2 3 4 2 0
0.32 0.41 1 0  7 3 3 3 2 3 2 2 3 2 0
0.11 0.04 0 0 11 1 3 1 1 1 1 1 1 1 0
0.53 0.96 0 0  8 3 4 2 2 2 2 3 2 1 0
0.84 2.06 0 0  7 3 2 2 4 3 4 4 3 4 0
1.21 0.96 1 0  8 1 4 1 1 2 1 1 1 2 0
0.26 0.11 0 0  7 3 3 2 2 2 3 3 4 3 0
0.74 1.22 0 1  9 2 4 3 2 3 2 1 3 1 0
0.32 0.70 0 0 11 2 3 2 2 2 4 4 2 3 0
0.16 0.22 1 0 11 2 4 2 1 1 1 3 1 1 1
0.05 0.30 0 1  9 3 3 1 1 2 1 1 2 2 0
0.53 1.05 0 0 11 1 4 4 2 2 2 3 4 3 1
0.79 0.79 0 0  8 4 5 3 2 4 2 1 4 4 0
0.37 0.52 0 1  8 4 3 2 1 3 2 3 2 1 0
1.68 1.03 0 0  9 4 4 2 3 4 4 4 5 4 0
0.74 0.08 0 1 10 2 3 1 2 1 2 2 1 2 0
0.47 0.26 0 0 11 2 3 1 2 3 2 2 1 2 0
0.63 0.94 0 0  9 3 5 1 4 3 3 4 3 3 0
0.42 0.33 0 0  7 2 3 4 2 1 1 1 2 2 0
0.05 0.31 0 0 10 1 4 2 1 2 1 1 2 1 0
0.16 0.37 0 0  8 4 4 1 1 3 1 2 1 1 0
1.21 0.72 0 0  7 3 4 5 2 4 2 3 2 2 0
0.16 0.33 0 0  9 2 4 2 1 1 1 2 1 1 0
0.79 0.95 1 0  9 2 4 3 1 2 2 3 2 2 0
0.84 0.52 0 0 10 1 1 4 2 2 2 1 1 1 0
0.47 0.23 0 1  8 3 4 2 1 2 2 1 1 2 1
0.26 0.26 0 0 11 3 3 3 2 2 2 1 2 3 0
0.74 0.59 0 0 10 3 3 3 2 3 2 3 3 2 0
0.74 0.68 1 0 10 1 3 2 1 3 1 1 2 1 0
1.32 1.33 1 0 11 2 3 5 1 3 2 2 2 2 0
0.63 0.65 0 0  7 2 3 1 2 2 2 1 3 1 0
0.84 1.49 1 0  8 1 4 2 1 1 1 1 1 1 0
0.53 0.32 0 0  7 2 4 2 2 3 1 3 2 1 0
0.89 0.82 0 1 10 2 3 2 1 1 2 1 4 3 0
0.79 0.19 0 0 11 3 3 2 2 2 2 2 2 1 0
0.16 0.31 0 1  7 1 2 1 1 2 1 1 2 1 0
1.00 1.72 0 1  7 2 3 2 2 3 2 1 2 1 0
0.37 0.10 1 0  9 2 3 1 2 2 3 3 2 2 0
0.00 0.03 0 1 11 2 5 1 1 2 1 1 1 1 1
1.26 0.80 0 0  9 2 3 2 2 2 2 2 2 2 0
0.00 0.09 0 0  8 1 3 2 1 1 1 1 1 1 0
0.37 0.35 0 0  7 3 5 2 2 4 2 4 3 2 0
0.58 1.05 0 1 10 1 3 3 2 3 2 1 2 2 0
0.05 0.17 0 0 11 3 2 1 2 3 1 2 1 2 0
1.21 0.47 1 0 10 4 2 1 2 1 2 2 2 2 0
0.37 0.16 0 0  8 3 3 3 1 2 1 1 2 1 0
0.16 0.08 0 0  8 2 2 2 1 1 1 2 1 1 0
0.32 0.16 1 0 10 1 3 2 1 2 1 1 2 1 0
1.00 1.01 0 0  7 2 2 2 2 2 4 3 3 3 0
0.21 0.34 0 0  8 2 3 1 2 2 2 2 2 2 1
1.37 1.70 0 0  9 1 5 2 1 3 2 2 3 1 1
0.74 0.76 0 0 10 4 4 2 2 4 3 3 3 5 1
0.26 1.33 0 1 11 2 4 1 1 2 1 1 4 2 0
0.68 0.49 1 0  9 1 2 2 1 1 1 1 1 1 0
0.42 0.29 1 0 11 1 3 2 2 1 2 3 2 2 0
0.95 0.64 1 0 10 3 2 1 2 2 2 1 2 2 0
0.68 0.39 1 0 10 3 3 1 2 2 1 1 2 2 0
0.11 0.25 0 0  8 1 4 1 2 2 2 2 1 1 0
0.00 0.04 0 0  9 1 2 2 2 1 2 1 1 1 0
1.16 0.85 1 0 11 3 3 2 1 3 1 2 1 2 0
0.79 0.53 1 0  8 3 3 1 2 2 1 2 2 2 0
0.11 0.20 0 0 11 2 3 2 2 2 1 2 1 1 0
1.63 1.09 1 0  7 3 4 2 3 4 3 4 5 4 0
0.63 0.86 1 0  9 2 4 2 1 2 2 4 4 2 0
0.63 1.12 1 0 11 2 4 3 2 3 2 2 2 2 0
0.47 0.31 0 0  7 3 3 2 2 2 2 4 2 1 1
0.95 0.02 0 0 11 2 2 2 2 2 2 2 2 1 1
0.53 1.15 0 0 10 3 3 1 1 2 1 2 1 1 0
0.42 0.49 1 0  9 3 3 2 2 2 1 1 2 2 0
0.63 0.40 0 0 10 2 3 2 2 2 2 2 2 2 0
0.53 0.01 1 0  9 2 3 2 2 3 2 3 2 2 0
1.16 0.86 1 0  7 1 3 2 2 1 1 2 1 1 0
1.58 1.16 0 0 10 3 3 1 2 2 2 2 3 2 0
0.16 0.38 0 0  9 2 3 2 2 2 2 2 4 2 0
0.68 0.27 0 0 11 2 3 1 1 3 1 2 2 2 0
0.11 0.29 1 0  9 1 3 2 1 1 1 1 1 1 0
0.16 0.55 0 0 10 3 3 3 2 1 1 2 1 1 0
0.58 0.39 0 1  8 4 4 3 2 3 2 2 2 1 0
0.26 0.15 0 0  9 2 4 2 1 2 2 4 1 1 1
1.68 1.66 0 0  7 3 3 2 1 2 1 3 1 1 0
0.89 0.63 1 0  8 4 4 3 2 3 2 4 4 2 0
1.58 0.64 0 0  9 2 3 1 2 1 2 1 1 1 0
0.74 0.71 0 0  7 4 4 2 2 4 2 2 4 2 0
0.79 1.97 1 0 11 3 5 2 1 4 2 2 1 2 0
0.95 1.37 1 0 10 2 4 1 2 2 2 3 2 2 0
0.16 0.43 0 0  9 2 3 2 1 2 1 1 2 2 0
1.32 0.66 0 1 10 2 4 2 2 3 3 2 4 3 1
2.37 1.03 0 1 11 2 3 3 2 4 3 3 3 2 1
0.74 1.22 0 0 10 3 3 2 4 3 4 3 4 3 0
0.42 0.63 0 0  9 2 3 3 2 1 2 2 2 2 0
0.58 0.46 0 1 11 2 4 3 2 2 3 3 3 3 0
0.05 0.00 0 0  7 2 4 2 2 2 2 2 1 1 0
0.37 0.18 1 0  7 2 4 1 1 2 1 2 1 1 1
0.42 0.58 0 0 11 2 3 4 1 2 2 3 2 2 1
0.53 0.30 0 0  9 1 2 2 1 1 1 1 1 1 0
0.89 0.56 0 0  8 3 5 2 1 3 1 2 3 1 1
0.47 0.20 1 0  7 2 3 2 1 2 1 2 1 1 0
0.26 0.25 0 0 11 2 3 2 2 2 1 1 1 2 0
0.79 1.13 0 0 11 3 4 1 2 3 2 2 4 2 0
0.21 0.27 0 0 10 2 3 2 2 2 2 2 3 2 1
0.68 0.33 1 0 10 1 2 1 1 2 1 2 1 2 0
0.95 1.10 1 0  9 3 4 2 1 3 2 2 3 3 1
0.26 0.06 0 0 10 1 3 3 2 1 1 3 2 2 0
0.79 1.28 0 0 10 4 4 1 3 3 4 4 4 3 1
1.32 2.09 0 1  9 4 3 4 3 3 2 4 2 2 0
1.42 0.83 0 0 10 3 4 2 1 2 1 3 2 2 1
1.63 1.85 1 0  8 2 4 2 2 3 3 4 4 3 1
0.21 0.23 0 0  9 4 3 2 2 2 2 2 2 2 1
0.68 1.26 0 0 10 4 4 1 1 4 2 3 2 2 0
0.37 0.86 0 0 11 2 3 2 2 1 1 2 2 1 0
1.11 1.25 0 0 10 2 4 4 2 2 2 2 3 2 0
0.16 0.20 1 0 11 2 3 3 1 1 1 1 2 2 0
0.37 0.24 0 0 11 4 4 2 1 3 1 2 2 1 0
0.11 0.25 0 0 10 1 4 3 2 2 2 3 2 1 1
0.21 0.24 0 0  7 2 3 2 2 2 2 3 2 1 0
0.68 1.54 0 0  9 3 3 1 2 3 2 2 2 2 0
0.68 0.75 0 0 11 2 3 2 1 2 1 1 1 1 0
0.05 0.05 0 0 11 2 4 2 1 2 1 1 2 1 1
0.16 0.28 0 0  7 2 4 2 2 3 3 2 2 1 0
0.21 0.34 0 1 10 2 3 2 2 2 1 1 1 1 0
0.32 0.40 1 0  8 2 4 4 1 3 1 2 1 1 0
0.79 0.88 0 0  9 2 4 2 1 1 1 1 1 1 1
0.58 2.17 0 0 10 3 4 2 2 3 3 3 4 5 1
0.47 0.58 0 0 11 2 4 2 2 2 1 2 2 2 1
0.58 0.77 0 0 10 1 3 1 1 1 1 2 2 1 0
0.89 0.32 0 0  8 1 4 2 1 1 1 1 1 2 0
0.79 0.56 1 0  7 1 2 2 1 2 1 1 1 1 0
1.05 0.93 0 0  9 3 4 1 2 2 1 3 1 2 1
0.53 0.57 0 1  7 2 3 2 2 2 1 1 2 1 0
0.21 0.30 1 0  9 1 3 4 2 2 2 1 2 1 0
0.05 0.06 0 0  7 1 2 2 1 1 1 1 1 1 0
1.64 0.34 0 0 11 3 4 1 3 4 2 3 4 3 1
0.58 0.89 0 1 11 2 4 1 1 2 1 1 2 1 0
1.58 0.53 1 0  8 4 3 3 2 2 1 2 2 2 0
0.26 1.00 1 0  8 3 4 2 2 1 2 2 1 2 0
0.42 0.62 0 0  7 3 4 1 1 4 1 2 2 1 0
1.26 0.85 0 0 10 3 3 5 1 4 2 2 3 3 0
0.32 0.64 1 0  8 1 5 1 1 2 1 3 2 1 0
0.47 0.00 1 0 10 2 4 2 2 2 1 1 2 2 1
0.37 0.22 0 0  9 2 3 1 2 2 2 4 3 2 0
0.68 1.38 1 0  7 2 2 2 1 1 2 1 1 2 0
0.63 0.62 1 0  7 2 3 2 1 2 1 1 1 1 1
0.89 0.31 0 0 10 1 4 4 3 2 2 4 2 2 0
0.16 0.63 1 0 10 1 2 2 1 1 1 1 1 1 0
0.63 0.33 0 0 10 3 4 4 1 1 1 1 4 2 1
0.84 1.35 0 1 11 2 4 2 2 2 2 2 4 3 0
0.63 0.40 0 1  7 4 3 1 2 2 2 2 2 3 0
1.00 1.48 0 0  7 3 4 3 2 3 3 3 4 3 0
1.11 0.12 0 1  9 2 3 2 2 3 2 4 2 3 0
0.47 0.12 0 0  9 1 4 2 2 2 1 3 2 2 0
0.63 0.41 0 0 10 3 4 2 1 3 1 2 3 2 1
0.68 0.98 1 0 10 3 2 4 2 1 3 2 1 2 0
0.26 0.38 0 1 10 1 3 2 2 2 2 2 3 3 0
0.47 0.65 0 1  8 2 4 2 2 2 2 2 1 2 0
1.32 0.58 0 1 11 4 3 4 2 4 3 4 4 3 0
0.58 0.49 0 0  9 1 4 3 2 2 2 3 1 2 0
1.37 0.97 0 0  9 3 3 2 2 2 2 2 2 2 1
0.21 0.08 0 0 10 2 3 2 1 3 1 2 3 1 0
0.53 0.55 0 0  7 3 4 4 2 3 2 2 3 2 0
0.42 0.75 0 0 10 3 4 4 2 3 2 3 4 2 0
0.11 0.10 0 0 10 2 2 2 1 2 1 1 2 1 1
1.63 0.84 0 0  9 3 4 4 2 3 2 4 2 2 0
0.16 0.09 0 0  7 3 3 2 2 2 2 2 1 1 0
0.21 0.56 0 0  9 3 3 1 1 2 1 1 1 1 0
0.16 0.17 1 0 10 2 3 2 1 2 1 1 1 1 0
0.37 0.19 1 0 11 3 2 2 2 1 2 2 1 2 0
0.37 0.22 0 0 10 3 4 2 3 3 3 3 5 3 0
0.47 0.80 0 0  9 2 3 2 2 2 2 1 2 2 1
0.68 1.20 1 0 11 1 3 1 1 1 1 1 1 1 0
0.89 0.65 1 0 11 2 4 2 1 2 1 2 2 2 0
0.32 0.54 0 0 10 2 3 2 2 2 2 2 2 1 0
1.16 2.28 0 1 11 2 3 2 1 2 1 2 1 1 1
2.63 1.60 1 0 11 4 3 2 3 4 4 5 5 5 0
0.58 0.61 0 0 10 3 3 1 2 3 2 3 2 2 0
1.37 0.74 0 1  9 2 3 3 1 2 2 3 1 2 0
0.21 0.64 0 1  9 3 4 4 2 3 4 4 4 4 0
0.21 0.27 0 1  8 1 3 2 2 1 1 1 1 1 0
0.95 1.15 1 0 11 4 3 2 2 3 2 3 1 2 0
0.74 0.21 0 0 11 1 3 2 2 2 1 2 2 1 0
0.47 0.46 0 0  7 2 4 3 1 2 1 2 2 1 1
0.11 0.04 0 0 11 2 4 2 2 5 2 1 3 1 0
1.53 1.86 0 0 11 1 5 1 1 2 1 2 4 2 1
0.42 0.50 0 0  9 1 3 2 2 3 2 2 2 2 0
0.00 0.09 1 0  8 1 3 1 1 1 1 1 1 1 0
0.58 0.25 1 0 11 2 3 2 1 2 1 1 1 1 1
1.68 1.63 0 0  7 1 3 3 2 2 2 3 1 2 0
0.21 0.56 1 0 10 1 3 4 1 1 1 1 1 1 0
0.63 0.14 0 0 10 2 3 1 1 1 1 2 2 2 0
0.68 0.29 0 0  7 1 4 1 1 1 1 1 1 1 0
0.26 0.19 0 0  7 1 3 1 2 3 1 4 3 1 0
0.37 0.19 1 0  7 2 4 2 1 2 2 1 2 1 0
0.47 0.84 0 0  9 2 4 3 2 3 2 2 2 2 0
0.47 0.39 1 0  9 2 3 4 2 2 1 1 2 1 0
0.26 0.52 0 0  9 4 4 2 2 3 2 3 2 2 1
0.53 0.32 0 1  9 3 2 2 2 2 2 3 2 2 0
0.58 0.79 0 0 10 3 3 2 2 2 3 2 2 3 0
0.74 2.10 1 0  8 2 3 3 2 3 2 1 2 2 0
0.11 0.06 0 0  7 1 3 2 1 1 1 1 1 1 0
1.00 1.24 0 0 10 3 4 4 2 4 3 3 4 3 0
0.26 0.94 0 1  9 2 3 2 2 2 2 3 2 1 0
0.32 0.47 0 0  9 3 4 1 1 1 1 1 3 1 0
0.16 0.98 0 0  9 2 4 3 2 2 1 2 2 1 0
0.42 1.32 0 0  7 4 5 2 2 3 3 2 1 2 0
1.05 0.33 1 0  9 2 4 2 2 1 2 1 3 2 0
0.21 0.56 0 0  9 1 3 2 2 2 1 1 1 2 0
0.58 1.53 0 0 10 3 4 3 3 4 3 2 4 2 0
0.63 0.54 0 0  7 3 3 1 3 4 2 3 3 2 0
0.63 1.41 0 0 10 1 3 1 2 2 2 2 3 3 0
0.95 0.31 0 0  9 3 4 2 2 2 2 2 2 1 1
0.79 0.58 0 0  7 2 3 2 2 3 2 2 2 1 0
0.68 0.50 0 0 10 2 4 3 2 3 1 3 2 1 0
0.05 0.15 0 0 11 3 2 2 1 1 1 1 1 1 0
0.47 0.14 0 0 11 2 3 2 1 1 1 1 1 1 0
0.11 0.29 0 0  7 2 3 2 2 1 1 2 2 1 0
0.42 0.54 0 0  7 2 4 2 2 2 2 2 3 2 0
0.11 0.08 0 0 11 2 4 1 2 2 2 2 3 1 1
0.79 0.47 0 1 10 3 4 1 2 2 2 2 1 1 0
0.21 0.52 0 0  8 1 3 2 2 2 2 2 2 1 0
0.63 1.20 0 0  7 2 4 4 2 3 2 3 2 2 1
1.05 1.21 0 0  7 3 4 2 3 4 3 4 1 2 0
0.16 0.34 0 0 11 2 3 2 2 2 1 2 2 1 0
0.05 0.26 0 0 10 2 2 1 1 1 1 1 1 1 0
0.42 0.46 1 0  9 4 4 4 2 3 2 2 2 2 0
0.63 0.20 0 0  8 3 4 3 2 4 3 4 2 2 0
1.00 1.25 0 0  9 2 3 3 2 2 2 2 3 2 0
0.58 0.73 0 0  8 1 3 1 3 2 2 1 3 1 0
0.05 0.07 0 0  9 1 4 3 1 2 1 1 1 1 1
0.32 0.42 0 0  7 2 4 5 2 2 1 2 2 1 0
0.53 0.65 1 0  8 2 4 2 3 2 4 4 4 4 0
1.00 0.73 0 0  7 2 3 2 2 2 2 4 2 2 1
0.11 0.39 0 0 11 1 3 1 1 2 1 1 4 1 0
0.00 0.11 0 0  9 1 3 2 1 2 1 1 1 1 0
0.42 0.78 0 0  9 2 3 1 2 1 2 1 3 2 0
0.42 0.95 0 0 10 3 4 1 4 3 4 3 4 4 1
0.63 0.44 1 0  7 3 3 3 1 2 1 1 2 1 0
0.05 0.17 0 0 10 1 3 2 1 2 1 2 2 1 1
1.00 0.36 0 0  9 2 3 2 2 2 4 4 4 3 0
1.37 0.77 0 0  8 2 3 3 2 3 2 3 2 2 0
0.21 0.02 0 0 10 2 4 2 1 2 2 2 3 2 0
0.21 0.23 1 0 10 2 3 2 1 2 1 2 2 1 1
0.16 0.25 0 0  8 2 3 3 1 1 1 2 2 1 0
0.32 0.24 0 0 10 3 4 2 3 3 3 3 3 2 0
0.26 0.26 0 0 11 1 3 1 1 1 1 1 1 1 0
1.26 0.49 1 0  9 1 4 3 2 2 1 1 1 1 0
0.00 0.09 0 0  7 1 3 2 1 2 1 1 1 1 0
0.84 0.95 0 1 11 4 4 2 3 4 3 4 4 4 0
0.63 0.95 0 0  8 1 3 2 1 1 2 2 1 1 0
0.58 0.85 1 0  9 1 3 1 1 1 1 1 1 1 1
0.68 0.10 0 1 11 3 3 2 2 2 2 2 2 2 0
0.89 0.94 0 0 10 3 4 2 2 3 2 3 4 2 0
2.26 1.37 0 0  9 4 3 3 2 3 2 4 1 2 0
0.26 0.63 1 0  8 2 3 2 2 2 1 1 1 1 0
0.89 0.95 0 0  9 2 3 3 2 3 3 3 4 3 0
0.11 0.24 1 0 11 1 2 2 1 1 1 1 1 1 0
1.11 1.56 0 1  7 3 4 2 2 3 2 3 5 4 0
0.16 0.19 0 0 11 2 1 2 2 2 1 1 1 1 1
0.79 0.60 1 0  8 3 3 2 1 1 1 1 1 1 0
0.37 0.70 0 0  9 3 3 2 3 3 2 4 3 3 0
1.47 1.54 0 1 10 3 3 1 1 2 2 4 2 3 0
0.42 0.88 0 1  7 3 2 1 1 2 1 1 1 2 0
0.21 0.14 0 1 10 1 3 2 2 2 2 2 2 2 0
0.26 0.71 0 0  7 2 4 2 2 2 2 3 1 1 0
0.11 0.19 0 0  7 3 3 2 2 2 2 1 2 1 0
0.53 0.28 0 1 10 2 3 3 2 2 2 3 2 2 0
0.58 1.73 0 0  9 3 4 2 2 2 2 2 2 2 0
0.95 0.75 0 0  9 1 3 1 2 1 2 2 2 2 0
0.47 0.72 1 0  8 3 3 5 2 2 2 3 2 1 0
0.68 1.33 0 0 10 1 3 2 2 2 1 2 2 1 0
0.74 1.00 0 0  8 3 3 2 2 3 3 2 4 4 0
0.74 0.56 0 0 11 2 3 2 2 2 1 2 4 3 1
0.63 0.46 0 0  9 2 4 2 2 2 2 2 1 1 0
0.79 0.88 0 0 10 1 5 2 2 3 2 4 3 3 1
1.16 1.15 0 0 11 4 3 2 2 4 2 2 3 2 0
0.32 0.28 0 0  9 4 4 2 2 2 2 2 3 1 0
0.47 0.15 1 0  7 1 3 2 2 2 2 1 1 2 0
0.63 0.52 1 0 10 1 4 2 2 3 2 1 2 2 0
0.37 0.17 0 0 10 2 3 2 2 3 2 4 3 2 0
0.37 0.36 0 0  9 2 3 2 2 4 3 3 2 2 0
0.26 0.24 0 0  8 2 1 2 1 1 1 2 1 1 0
1.42 1.23 0 0 10 4 4 2 3 3 4 3 4 4 1
0.84 1.00 0 0 10 2 3 1 1 2 1 2 2 2 0
0.16 0.15 0 1  7 2 3 2 1 1 1 1 1 1 0
0.68 0.40 0 0  7 2 3 2 1 2 1 2 2 2 0
0.37 0.53 1 0 10 5 4 2 3 4 3 3 3 2 0
0.47 0.76 0 0  9 3 3 2 2 2 2 2 1 2 0
0.63 0.24 0 0  9 3 3 2 2 4 2 2 2 2 0
0.74 0.58 0 0 10 3 5 1 2 3 1 2 3 2 1
0.84 0.83 1 0  9 3 3 1 2 3 2 3 3 2 0
0.32 0.73 1 0  7 2 3 2 2 1 2 1 1 1 0
0.79 0.42 0 0  9 3 4 2 2 3 2 2 3 2 0
1.16 1.00 1 0  8 1 3 1 1 1 1 1 1 1 0
0.84 0.92 0 0 11 4 4 3 2 3 2 2 2 2 1
0.26 0.28 0 0  7 1 2 2 1 1 1 1 1 1 0
1.11 0.92 0 0  8 2 4 2 2 4 2 4 4 2 0
0.26 0.68 0 0 11 2 4 1 2 3 1 4 2 2 0
1.42 0.27 0 0  9 4 3 3 1 2 2 2 2 2 0
1.53 0.50 0 1  8 2 4 1 1 2 1 1 2 1 0
0.00 0.15 0 0  9 1 4 2 2 3 1 1 4 2 1
1.05 1.67 0 0  9 1 2 3 2 1 2 2 2 2 0
0.95 0.88 1 0  8 3 3 4 2 2 2 2 4 2 0
